feature	depth	Nsites	totalNsites	propsites
genome	310	1116	1108645000	1.00663e-06
genome	311	1115	1108645000	1.00573e-06
genome	312	1069	1108645000	9.6424e-07
genome	313	1078	1108645000	9.72358e-07
genome	314	1070	1108645000	9.65142e-07
genome	315	1000	1108645000	9.02002e-07
genome	316	1018	1108645000	9.18238e-07
genome	317	1136	1108645000	1.02467e-06
genome	318	1000	1108645000	9.02002e-07
genome	319	1089	1108645000	9.8228e-07
genome	320	962	1108645000	8.67726e-07
genome	321	933	1108645000	8.41568e-07
genome	322	992	1108645000	8.94786e-07
genome	323	1079	1108645000	9.7326e-07
genome	324	956	1108645000	8.62314e-07
genome	325	949	1108645000	8.56e-07
genome	326	906	1108645000	8.17214e-07
genome	327	902	1108645000	8.13606e-07
genome	328	870	1108645000	7.84742e-07
genome	329	836	1108645000	7.54074e-07
genome	330	807	1108645000	7.27916e-07
genome	331	845	1108645000	7.62192e-07
genome	332	872	1108645000	7.86546e-07
genome	333	794	1108645000	7.1619e-07
genome	334	854	1108645000	7.7031e-07
genome	335	776	1108645000	6.99954e-07
genome	336	797	1108645000	7.18896e-07
genome	337	769	1108645000	6.9364e-07
genome	338	833	1108645000	7.51368e-07
genome	339	856	1108645000	7.72114e-07
genome	340	769	1108645000	6.9364e-07
genome	341	824	1108645000	7.4325e-07
genome	342	814	1108645000	7.3423e-07
genome	343	855	1108645000	7.71212e-07
genome	344	820	1108645000	7.39642e-07
genome	345	734	1108645000	6.62069e-07
genome	346	782	1108645000	7.05366e-07
genome	347	809	1108645000	7.2972e-07
genome	348	720	1108645000	6.49441e-07
genome	349	742	1108645000	6.69285e-07
genome	350	748	1108645000	6.74698e-07
genome	351	726	1108645000	6.54853e-07
genome	352	710	1108645000	6.40421e-07
genome	353	750	1108645000	6.76501e-07
genome	354	796	1108645000	7.17994e-07
genome	355	765	1108645000	6.90032e-07
genome	356	709	1108645000	6.39519e-07
genome	357	719	1108645000	6.48539e-07
genome	358	767	1108645000	6.91836e-07
genome	359	723	1108645000	6.52147e-07
genome	360	772	1108645000	6.96346e-07
genome	361	720	1108645000	6.49441e-07
genome	362	733	1108645000	6.61167e-07
genome	363	695	1108645000	6.26891e-07
genome	364	744	1108645000	6.71089e-07
genome	365	683	1108645000	6.16067e-07
genome	366	770	1108645000	6.94542e-07
genome	367	772	1108645000	6.96346e-07
genome	368	686	1108645000	6.18773e-07
genome	369	670	1108645000	6.04341e-07
genome	370	705	1108645000	6.35911e-07
genome	371	729	1108645000	6.57559e-07
genome	372	716	1108645000	6.45833e-07
genome	373	674	1108645000	6.07949e-07
genome	374	695	1108645000	6.26891e-07
genome	375	652	1108645000	5.88105e-07
genome	376	729	1108645000	6.57559e-07
genome	377	666	1108645000	6.00733e-07
genome	378	670	1108645000	6.04341e-07
genome	379	629	1108645000	5.67359e-07
genome	380	699	1108645000	6.30499e-07
genome	381	626	1108645000	5.64653e-07
genome	382	638	1108645000	5.75477e-07
genome	383	642	1108645000	5.79085e-07
genome	384	663	1108645000	5.98027e-07
genome	385	690	1108645000	6.22381e-07
genome	386	694	1108645000	6.25989e-07
genome	387	631	1108645000	5.69163e-07
genome	388	610	1108645000	5.50221e-07
genome	389	590	1108645000	5.32181e-07
genome	390	664	1108645000	5.98929e-07
genome	391	592	1108645000	5.33985e-07
genome	392	644	1108645000	5.80889e-07
genome	393	639	1108645000	5.76379e-07
genome	394	601	1108645000	5.42103e-07
genome	395	644	1108645000	5.80889e-07
genome	396	639	1108645000	5.76379e-07
genome	397	632	1108645000	5.70065e-07
genome	398	678	1108645000	6.11557e-07
genome	399	668	1108645000	6.02537e-07
genome	400	630	1108645000	5.68261e-07
genome	401	652	1108645000	5.88105e-07
genome	402	588	1108645000	5.30377e-07
genome	403	604	1108645000	5.44809e-07
genome	404	621	1108645000	5.60143e-07
genome	405	574	1108645000	5.17749e-07
genome	406	589	1108645000	5.31279e-07
genome	407	627	1108645000	5.65555e-07
genome	408	631	1108645000	5.69163e-07
genome	409	625	1108645000	5.63751e-07
genome	410	600	1108645000	5.41201e-07
genome	411	606	1108645000	5.46613e-07
genome	412	583	1108645000	5.25867e-07
genome	413	512	1108645000	4.61825e-07
genome	414	585	1108645000	5.27671e-07
genome	415	586	1108645000	5.28573e-07
genome	416	605	1108645000	5.45711e-07
genome	417	555	1108645000	5.00611e-07
genome	418	560	1108645000	5.05121e-07
genome	419	609	1108645000	5.49319e-07
genome	420	582	1108645000	5.24965e-07
genome	421	531	1108645000	4.78963e-07
genome	422	571	1108645000	5.15043e-07
genome	423	669	1108645000	6.03439e-07
genome	424	527	1108645000	4.75355e-07
genome	425	536	1108645000	4.83473e-07
genome	426	544	1108645000	4.90689e-07
genome	427	530	1108645000	4.78061e-07
genome	428	532	1108645000	4.79865e-07
genome	429	517	1108645000	4.66335e-07
genome	430	564	1108645000	5.08729e-07
