feature	depth	Nsites	totalNsites	propsites
genome	375	265	1108645000	2.39031e-07
genome	376	323	1108645000	2.91347e-07
genome	377	281	1108645000	2.53463e-07
genome	378	280	1108645000	2.52561e-07
genome	379	276	1108645000	2.48953e-07
genome	380	264	1108645000	2.38129e-07
genome	381	286	1108645000	2.57973e-07
genome	382	274	1108645000	2.47149e-07
genome	383	282	1108645000	2.54365e-07
genome	384	246	1108645000	2.21892e-07
genome	385	281	1108645000	2.53463e-07
genome	386	267	1108645000	2.40835e-07
genome	387	275	1108645000	2.48051e-07
genome	388	276	1108645000	2.48953e-07
genome	389	305	1108645000	2.75111e-07
genome	390	264	1108645000	2.38129e-07
genome	391	309	1108645000	2.78719e-07
genome	392	281	1108645000	2.53463e-07
genome	393	255	1108645000	2.30011e-07
genome	394	249	1108645000	2.24598e-07
genome	395	261	1108645000	2.35423e-07
genome	396	245	1108645000	2.2099e-07
genome	397	252	1108645000	2.27304e-07
genome	398	276	1108645000	2.48953e-07
genome	399	325	1108645000	2.93151e-07
genome	400	306	1108645000	2.76013e-07
genome	401	322	1108645000	2.90445e-07
genome	402	237	1108645000	2.13774e-07
genome	403	260	1108645000	2.34521e-07
genome	404	232	1108645000	2.09264e-07
genome	405	266	1108645000	2.39933e-07
genome	406	277	1108645000	2.49855e-07
genome	407	256	1108645000	2.30913e-07
genome	408	275	1108645000	2.48051e-07
genome	409	237	1108645000	2.13774e-07
genome	410	259	1108645000	2.33619e-07
genome	411	236	1108645000	2.12872e-07
genome	412	224	1108645000	2.02048e-07
genome	413	277	1108645000	2.49855e-07
genome	414	264	1108645000	2.38129e-07
genome	415	284	1108645000	2.56169e-07
genome	416	245	1108645000	2.2099e-07
genome	417	265	1108645000	2.39031e-07
genome	418	237	1108645000	2.13774e-07
genome	419	266	1108645000	2.39933e-07
genome	420	257	1108645000	2.31815e-07
genome	421	207	1108645000	1.86714e-07
genome	422	274	1108645000	2.47149e-07
genome	423	234	1108645000	2.11068e-07
genome	424	241	1108645000	2.17382e-07
genome	425	247	1108645000	2.22794e-07
genome	426	289	1108645000	2.60679e-07
genome	427	260	1108645000	2.34521e-07
genome	428	270	1108645000	2.43541e-07
genome	429	241	1108645000	2.17382e-07
genome	430	304	1108645000	2.74209e-07
genome	431	294	1108645000	2.65189e-07
genome	432	245	1108645000	2.2099e-07
genome	433	254	1108645000	2.29109e-07
genome	434	255	1108645000	2.30011e-07
genome	435	247	1108645000	2.22794e-07
genome	436	232	1108645000	2.09264e-07
genome	437	282	1108645000	2.54365e-07
genome	438	220	1108645000	1.9844e-07
genome	439	232	1108645000	2.09264e-07
genome	440	287	1108645000	2.58875e-07
genome	441	300	1108645000	2.70601e-07
genome	442	246	1108645000	2.21892e-07
genome	443	239	1108645000	2.15578e-07
genome	444	236	1108645000	2.12872e-07
genome	445	246	1108645000	2.21892e-07
genome	446	249	1108645000	2.24598e-07
genome	447	259	1108645000	2.33619e-07
genome	448	263	1108645000	2.37227e-07
genome	449	227	1108645000	2.04754e-07
genome	450	261	1108645000	2.35423e-07
genome	451	251	1108645000	2.26403e-07
genome	452	192	1108645000	1.73184e-07
genome	453	209	1108645000	1.88518e-07
genome	454	234	1108645000	2.11068e-07
genome	455	192	1108645000	1.73184e-07
genome	456	194	1108645000	1.74988e-07
genome	457	205	1108645000	1.8491e-07
genome	458	199	1108645000	1.79498e-07
genome	459	197	1108645000	1.77694e-07
genome	460	219	1108645000	1.97538e-07
genome	461	210	1108645000	1.8942e-07
genome	462	207	1108645000	1.86714e-07
genome	463	203	1108645000	1.83106e-07
genome	464	196	1108645000	1.76792e-07
genome	465	196	1108645000	1.76792e-07
genome	466	213	1108645000	1.92126e-07
genome	467	169	1108645000	1.52438e-07
genome	468	163	1108645000	1.47026e-07
genome	469	188	1108645000	1.69576e-07
genome	470	201	1108645000	1.81302e-07
genome	471	209	1108645000	1.88518e-07
genome	472	185	1108645000	1.6687e-07
genome	473	191	1108645000	1.72282e-07
genome	474	155	1108645000	1.3981e-07
genome	475	186	1108645000	1.67772e-07
genome	476	154	1108645000	1.38908e-07
genome	477	151	1108645000	1.36202e-07
genome	478	171	1108645000	1.54242e-07
genome	479	206	1108645000	1.85812e-07
genome	480	160	1108645000	1.4432e-07
genome	481	148	1108645000	1.33496e-07
genome	482	150	1108645000	1.353e-07
genome	483	168	1108645000	1.51536e-07
genome	484	169	1108645000	1.52438e-07
genome	485	178	1108645000	1.60556e-07
genome	486	178	1108645000	1.60556e-07
genome	487	182	1108645000	1.64164e-07
genome	488	140	1108645000	1.2628e-07
genome	489	187	1108645000	1.68674e-07
genome	490	198	1108645000	1.78596e-07
genome	491	204	1108645000	1.84008e-07
genome	492	229	1108645000	2.06558e-07
genome	493	225	1108645000	2.0295e-07
genome	494	142	1108645000	1.28084e-07
genome	495	214	1108645000	1.93028e-07
genome	496	167	1108645000	1.50634e-07
genome	497	180	1108645000	1.6236e-07
genome	498	157	1108645000	1.41614e-07
genome	499	173	1108645000	1.56046e-07
genome	500	182	1108645000	1.64164e-07
genome	501	171	1108645000	1.54242e-07
genome	502	162	1108645000	1.46124e-07
genome	503	194	1108645000	1.74988e-07
genome	504	165	1108645000	1.4883e-07
genome	505	187	1108645000	1.68674e-07
genome	506	195	1108645000	1.7589e-07
genome	507	199	1108645000	1.79498e-07
genome	508	214	1108645000	1.93028e-07
genome	509	205	1108645000	1.8491e-07
genome	510	185	1108645000	1.6687e-07
genome	511	183	1108645000	1.65066e-07
genome	512	170	1108645000	1.5334e-07
genome	513	189	1108645000	1.70478e-07
genome	514	196	1108645000	1.76792e-07
genome	515	196	1108645000	1.76792e-07
genome	516	140	1108645000	1.2628e-07
genome	517	170	1108645000	1.5334e-07
genome	518	140	1108645000	1.2628e-07
genome	519	152	1108645000	1.37104e-07
genome	520	150	1108645000	1.353e-07
genome	521	118	1108645000	1.06436e-07
genome	522	147	1108645000	1.32594e-07
genome	523	173	1108645000	1.56046e-07
genome	524	176	1108645000	1.58752e-07
genome	525	138	1108645000	1.24476e-07
genome	526	160	1108645000	1.4432e-07
genome	527	126	1108645000	1.13652e-07
genome	528	161	1108645000	1.45222e-07
genome	529	184	1108645000	1.65968e-07
genome	530	161	1108645000	1.45222e-07
genome	531	183	1108645000	1.65066e-07
genome	532	144	1108645000	1.29888e-07
genome	533	150	1108645000	1.353e-07
genome	534	159	1108645000	1.43418e-07
genome	535	149	1108645000	1.34398e-07
genome	536	151	1108645000	1.36202e-07
genome	537	173	1108645000	1.56046e-07
genome	538	166	1108645000	1.49732e-07
genome	539	167	1108645000	1.50634e-07
genome	540	137	1108645000	1.23574e-07
genome	541	136	1108645000	1.22672e-07
genome	542	124	1108645000	1.11848e-07
genome	543	123	1108645000	1.10946e-07
genome	544	154	1108645000	1.38908e-07
genome	545	137	1108645000	1.23574e-07
genome	546	127	1108645000	1.14554e-07
genome	547	108	1108645000	9.74162e-08
genome	548	91	1108645000	8.20822e-08
genome	549	127	1108645000	1.14554e-07
genome	550	171	1108645000	1.54242e-07
genome	551	128	1108645000	1.15456e-07
genome	552	125	1108645000	1.1275e-07
genome	553	126	1108645000	1.13652e-07
genome	554	143	1108645000	1.28986e-07
genome	555	115	1108645000	1.0373e-07
genome	556	191	1108645000	1.72282e-07
genome	557	164	1108645000	1.47928e-07
genome	558	183	1108645000	1.65066e-07
genome	559	145	1108645000	1.3079e-07
genome	560	156	1108645000	1.40712e-07
genome	561	162	1108645000	1.46124e-07
genome	562	127	1108645000	1.14554e-07
genome	563	137	1108645000	1.23574e-07
genome	564	147	1108645000	1.32594e-07
genome	565	121	1108645000	1.09142e-07
genome	566	128	1108645000	1.15456e-07
genome	567	126	1108645000	1.13652e-07
genome	568	135	1108645000	1.2177e-07
genome	569	152	1108645000	1.37104e-07
genome	570	130	1108645000	1.1726e-07
genome	571	111	1108645000	1.00122e-07
genome	572	125	1108645000	1.1275e-07
genome	573	169	1108645000	1.52438e-07
genome	574	138	1108645000	1.24476e-07
genome	575	119	1108645000	1.07338e-07
genome	576	119	1108645000	1.07338e-07
genome	577	119	1108645000	1.07338e-07
genome	578	144	1108645000	1.29888e-07
genome	579	98	1108645000	8.83962e-08
genome	580	99	1108645000	8.92982e-08
genome	581	92	1108645000	8.29842e-08
genome	582	97	1108645000	8.74942e-08
genome	583	100	1108645000	9.02002e-08
genome	584	118	1108645000	1.06436e-07
genome	585	111	1108645000	1.00122e-07
genome	586	96	1108645000	8.65922e-08
genome	587	103	1108645000	9.29062e-08
genome	588	101	1108645000	9.11022e-08
genome	589	114	1108645000	1.02828e-07
genome	590	90	1108645000	8.11802e-08
genome	591	109	1108645000	9.83182e-08
genome	592	115	1108645000	1.0373e-07
genome	593	119	1108645000	1.07338e-07
genome	594	101	1108645000	9.11022e-08
genome	595	113	1108645000	1.01926e-07
genome	596	131	1108645000	1.18162e-07
genome	597	118	1108645000	1.06436e-07
genome	598	132	1108645000	1.19064e-07
genome	599	109	1108645000	9.83182e-08
genome	600	109	1108645000	9.83182e-08
genome	601	112	1108645000	1.01024e-07
genome	602	137	1108645000	1.23574e-07
genome	603	134	1108645000	1.20868e-07
genome	604	109	1108645000	9.83182e-08
genome	605	118	1108645000	1.06436e-07
genome	606	132	1108645000	1.19064e-07
genome	607	112	1108645000	1.01024e-07
genome	608	103	1108645000	9.29062e-08
genome	609	97	1108645000	8.74942e-08
genome	610	116	1108645000	1.04632e-07
genome	611	174	1108645000	1.56948e-07
genome	612	105	1108645000	9.47102e-08
genome	613	117	1108645000	1.05534e-07
genome	614	102	1108645000	9.20042e-08
genome	615	130	1108645000	1.1726e-07
genome	616	113	1108645000	1.01926e-07
genome	617	126	1108645000	1.13652e-07
genome	618	125	1108645000	1.1275e-07
genome	619	126	1108645000	1.13652e-07
genome	620	110	1108645000	9.92202e-08
genome	621	131	1108645000	1.18162e-07
genome	622	120	1108645000	1.0824e-07
genome	623	112	1108645000	1.01024e-07
genome	624	113	1108645000	1.01926e-07
genome	625	103	1108645000	9.29062e-08
genome	626	116	1108645000	1.04632e-07
genome	627	109	1108645000	9.83182e-08
genome	628	117	1108645000	1.05534e-07
genome	629	97	1108645000	8.74942e-08
genome	630	102	1108645000	9.20042e-08
genome	631	124	1108645000	1.11848e-07
genome	632	118	1108645000	1.06436e-07
genome	633	102	1108645000	9.20042e-08
genome	634	98	1108645000	8.83962e-08
genome	635	96	1108645000	8.65922e-08
genome	636	117	1108645000	1.05534e-07
genome	637	105	1108645000	9.47102e-08
genome	638	107	1108645000	9.65142e-08
genome	639	136	1108645000	1.22672e-07
genome	640	83	1108645000	7.48662e-08
genome	641	93	1108645000	8.38862e-08
genome	642	91	1108645000	8.20822e-08
genome	643	93	1108645000	8.38862e-08
genome	644	90	1108645000	8.11802e-08
genome	645	98	1108645000	8.83962e-08
genome	646	100	1108645000	9.02002e-08
genome	647	85	1108645000	7.66702e-08
genome	648	87	1108645000	7.84742e-08
genome	649	79	1108645000	7.12582e-08
genome	650	87	1108645000	7.84742e-08
genome	651	109	1108645000	9.83182e-08
genome	652	116	1108645000	1.04632e-07
genome	653	90	1108645000	8.11802e-08
genome	654	109	1108645000	9.83182e-08
genome	655	72	1108645000	6.49441e-08
genome	656	95	1108645000	8.56902e-08
genome	657	84	1108645000	7.57682e-08
genome	658	80	1108645000	7.21602e-08
genome	659	118	1108645000	1.06436e-07
genome	660	77	1108645000	6.94542e-08
genome	661	74	1108645000	6.67482e-08
genome	662	95	1108645000	8.56902e-08
genome	663	111	1108645000	1.00122e-07
genome	664	84	1108645000	7.57682e-08
genome	665	76	1108645000	6.85522e-08
genome	666	89	1108645000	8.02782e-08
genome	667	79	1108645000	7.12582e-08
genome	668	73	1108645000	6.58461e-08
genome	669	88	1108645000	7.93762e-08
genome	670	115	1108645000	1.0373e-07
genome	671	80	1108645000	7.21602e-08
genome	672	88	1108645000	7.93762e-08
genome	673	81	1108645000	7.30622e-08
genome	674	90	1108645000	8.11802e-08
genome	675	91	1108645000	8.20822e-08
genome	676	97	1108645000	8.74942e-08
genome	677	102	1108645000	9.20042e-08
genome	678	64	1108645000	5.77281e-08
genome	679	89	1108645000	8.02782e-08
genome	680	78	1108645000	7.03562e-08
genome	681	72	1108645000	6.49441e-08
genome	682	69	1108645000	6.22381e-08
genome	683	89	1108645000	8.02782e-08
genome	684	86	1108645000	7.75722e-08
genome	685	90	1108645000	8.11802e-08
