contig,lg,Tce_F_CC22B,Tce_F_CC22C,Tce_F_CC24B,Tce_F_CC24C,Tce_F_CC25B,Tce_M_05_HM15,Tce_M_06_HM16,Tce_M_07_HM33,Tce_M_08_HM61
lgNA_ordNA_scaf783,lgNA,28.35633551457465794170136823,19.20939916716240333135038667,19.54431885782272456870910173,15.74003569303985722784057109,18.40749553837001784651992861,33.60440214158239143367043427,32.97977394408090422367638311,30.16359309934562760261748959,24.69779892920880428316478287
lgNA_ordNA_scaf784,lgNA,29.43089960886571056062581486,17.03324641460234680573663625,22.19621903520208604954367666,17.61342894393741851368970013,20.84680573663624511082138201,42.80312907431551499348109518,43.15775749674054758800521512,47.64146023468057366362451108,36.09647979139504563233376793
lgNA_ordNA_scaf785,lgNA,0,0,0,0,0,0,0,0,0
lgNA_ordNA_scaf786,lgNA,14.09510869565217391304347826,11.38134057971014492753623188,9.721920289855072463768115942,14.01811594202898550724637681,9.374094202898550724637681159,18.74728260869565217391304348,20.76630434782608695652173913,17.13586956521739130434782609,17.17028985507246376811594203
lgNA_ordNA_scaf787,lgNA,0.9583858764186633039092055485,0.6065573770491803278688524590,0.7326607818411097099621689786,0.6702395964691046658259773014,0.2131147540983606557377049180,1.045397225725094577553593947,1.513871374527112232030264817,1.469104665825977301387137453,0.9968474148802017654476670870
lgNA_ordNA_scaf788,lgNA,0.09960552268244575936883629191,0.09960552268244575936883629191,0.09861932938856015779092702170,0,0,0.1992110453648915187376725838,0.2909270216962524654832347140,0,0.1893491124260355029585798817
lgNA_ordNA_scaf789,lgNA,0.1164021164021164021164021164,0.1081716637272192827748383304,0.09288653733098177542621987066,0.1628453850676072898295120517,0.05702527924750146972369194591,0.09876543209876543209876543210,0.08348030570252792475014697237,0.1046443268665490887713109935,0.1146384479717813051146384480
lgNA_ordNA_scaf79,lgNA,18.34907407407407407407407407,14.3625,14.46064814814814814814814815,13.43472222222222222222222222,15.37638888888888888888888889,30.46203703703703703703703704,29.44814814814814814814814815,27.86527777777777777777777778,28.61990740740740740740740741
lgNA_ordNA_scaf790,lgNA,13.35053763440860215053763441,9.883870967741935483870967742,11.99856630824372759856630824,9.191397849462365591397849462,9.964874551971326164874551971,19.61648745519713261648745520,18.11182795698924731182795699,16.47670250896057347670250896,16.66021505376344086021505376
lgNA_ordNA_scaf791,lgNA,19.14119359534206695778748180,14.42940320232896652110625910,16.59606986899563318777292576,9.978165938864628820960698690,15.59461426491994177583697234,34.23071324599708879184861718,31.31513828238719068413391557,27.94978165938864628820960699,26.65138282387190684133915575
lgNA_ordNA_scaf792,lgNA,25.95469522240527182866556837,21.63097199341021416803953871,24.43822075782537067545304778,16.26112026359143327841845140,21.78418451400329489291598023,45.40774299835255354200988468,43.97693574958813838550247117,37.57413509060955518945634267,34.15815485996705107084019769
lgNA_ordNA_scaf793,lgNA,14.02341463414634146341463415,9.421463414634146341463414634,11.57170731707317073170731707,9.156097560975609756097560976,10.13170731707317073170731707,16.58780487804878048780487805,18.88536585365853658536585366,15.77756097560975609756097561,18.89365853658536585365853659
lgNA_ordNA_scaf796,lgNA,9.592592592592592592592592593,4.385185185185185185185185185,7.942760942760942760942760943,5.835690235690235690235690236,7.505050505050505050505050505,13.25454545454545454545454545,13.22828282828282828282828283,10.37306397306397306397306397,12.27811447811447811447811448
lgNA_ordNA_scaf797,lgNA,13.67375886524822695035460993,9.340425531914893617021276596,9.436324390995991366019118101,7.631822386679000925069380204,10.06290471785383903792784459,18.55195806352143077397471477,15.09620721554116558741905643,13.12920135676842429848905335,13.81930311440024668516805427
lgNA_ordNA_scaf798,lgNA,2.559377559377559377559377559,0.4709254709254709254709254709,1.649467649467649467649467649,0.5470925470925470925470925471,1.085176085176085176085176085,1.456183456183456183456183456,0.7788697788697788697788697789,0.8018018018018018018018018018,1.285831285831285831285831286
lgNA_ordNA_scaf799,lgNA,41.40512954723894268516095263,26.10049725202826485213294949,30.50065427898455901596440722,23.88249149437320073279246271,31.54148128762104161214341795,51.58021460350693535723632557,50.68123527872284742214080084,41.66500915990578382622350170,46.77990054959434702957341010
lgNA_ordNA_scaf8,lgNA,4.253731343283582089552238806,2.379918588873812754409769335,5.175712347354138398914518318,3.067842605156037991858887381,4.614654002713704206241519674,5.556309362279511533242876526,6.178426051560379918588873813,4.419267299864314789687924016,5.267299864314789687924016282
lgNA_ordNA_scaf80,lgNA,10.99532952776336274001037883,7.092890503373118837571354437,8.565646081992734820965230929,7.144784639335755059678256357,8.212765957446808510638297872,17.66995329527763362740010379,16.81992734820965230928905034,11.95381421899325376232485729,14.74623767514270887389724961
lgNA_ordNA_scaf800,lgNA,7.053113553113553113553113553,4.933150183150183150183150183,6.902930402930402930402930403,3.282051282051282051282051282,4.463369963369963369963369963,9.883699633699633699633699634,7.468864468864468864468864469,8.232600732600732600732600733,8.529304029304029304029304029
